Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-03-31,60980.37890625,64000.0,64000.0,63700.0,64000.0,14094479
2023-04-03,60122.8359375,63100.0,64000.0,63000.0,64000.0,11973133
2023-04-04,60599.25390625,63600.0,63800.0,62800.0,63400.0,11120514
2023-04-05,60885.09375,63900.0,64000.0,63400.0,63700.0,9176149
2023-04-06,59360.5859375,62300.0,63600.0,62300.0,63500.0,14992747
2023-04-07,61933.19140625,65000.0,65200.0,63800.0,63800.0,27476120
2023-04-10,62600.171875,65700.0,66300.0,64700.0,64800.0,18777166
2023-04-11,62790.73046875,65900.0,66200.0,65400.0,66200.0,16323183
2023-04-12,62886.015625,66000.0,66200.0,65300.0,65800.0,15021313
2023-04-13,62981.29296875,66100.0,66100.0,65400.0,65600.0,15091022
2023-04-14,62028.4765625,65100.0,66600.0,65000.0,66600.0,16176490
2023-04-17,62219.0390625,65300.0,65600.0,64700.0,65000.0,13486618
2023-04-18,62504.88671875,65600.0,66000.0,64800.0,65900.0,14802060
2023-04-19,62409.60546875,65500.0,65800.0,65300.0,65500.0,10255985
2023-04-20,62219.0390625,65300.0,65300.0,64600.0,65100.0,9501169
2023-04-21,62600.171875,65700.0,65900.0,65400.0,65800.0,10538622
2023-04-24,62123.7578125,65200.0,65700.0,64800.0,65300.0,12986581
2023-04-25,60599.25390625,63600.0,65400.0,63400.0,65300.0,16193271
2023-04-26,61075.66015625,64100.0,64300.0,63300.0,63600.0,12664541
2023-04-27,61552.0703125,64600.0,65000.0,63300.0,64100.0,14779601
2023-04-28,62409.60546875,65500.0,65900.0,65000.0,65200.0,19699481
2023-05-02,62600.171875,65700.0,66300.0,65100.0,66000.0,14396948
2023-05-03,62314.32421875,65400.0,65600.0,64900.0,65100.0,8876749
2023-05-04,62028.4765625,65100.0,65700.0,64700.0,65600.0,9791064
2023-05-08,62790.73046875,65900.0,66300.0,65400.0,66300.0,9405365
2023-05-09,62219.0390625,65300.0,65800.0,65100.0,65800.0,9366861
2023-05-10,61552.0703125,64600.0,65500.0,64300.0,65500.0,13057727
2023-05-11,61170.9453125,64200.0,65100.0,64200.0,64700.0,11648905
2023-05-12,61075.66015625,64100.0,64600.0,63600.0,63700.0,8693913
